epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
83,0.84693474,0.13188483,0.20287652,0.1300791,1680.0,-2.3820908,0.9,3360.0,0.65
84,0.84730047,0.1318122,0.20295274,0.13013144,1700.0,-3.014705,0.85,3400.0,0.475
85,0.8474419,0.1315697,0.20284887,0.12990116,1720.0,-3.1874735,0.9,3440.0,0.65
86,0.84769815,0.13151623,0.20283303,0.12979822,1740.0,-2.3142297,0.95,3480.0,0.45
87,0.84778285,0.13138519,0.20284224,0.12962367,1760.0,-1.8361309,0.95,3520.0,0.5
88,0.8479214,0.13122644,0.20288527,0.1294739,1780.0,-3.3069186,0.9,3560.0,0.575
89,0.8480329,0.1311345,0.20289147,0.12958705,1800.0,-2.736321,0.85,3600.0,0.55
90,0.8481192,0.13093764,0.2029582,0.12943439,1820.0,-2.069743,0.95,3640.0,0.65
91,0.84825516,0.1307881,0.20298557,0.1293768,1840.0,-2.7690172,0.9,3680.0,0.65
92,0.84839946,0.13058247,0.2029299,0.12929131,1860.0,-2.3511624,0.9,3720.0,0.6
93,0.8484989,0.130361,0.20293915,0.12926108,1880.0,-2.7102966,1.0,3760.0,0.55
94,0.8486047,0.13024981,0.20289843,0.12921101,1900.0,-3.2922573,0.85,3800.0,0.5
95,0.84869266,0.13009758,0.2030135,0.12926394,1920.0,-2.8967688,0.95,3840.0,0.575
96,0.84884804,0.12981127,0.20310315,0.1290371,1940.0,-3.5281265,0.95,3880.0,0.75
97,0.84891003,0.12949057,0.20309457,0.12901866,1960.0,-2.234961,0.9,3920.0,0.675
98,0.8488602,0.12930681,0.20307487,0.1287862,1980.0,-2.482523,0.85,3960.0,0.675
99,0.8491346,0.12909508,0.20303644,0.12864839,2000.0,-2.3063762,0.95,4000.0,0.7
